"COUNTRY","Country","KEY_IND_PC","Key indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2008","2008","PC","Percentage","0","Units",,,2.907,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2009","2009","PC","Percentage","0","Units",,,2.83,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2010","2010","PC","Percentage","0","Units",,,2.697,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2011","2011","PC","Percentage","0","Units",,,2.726,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2012","2012","PC","Percentage","0","Units",,,2.836,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2013","2013","PC","Percentage","0","Units",,,2.851,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2014","2014","PC","Percentage","0","Units",,,2.947,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2015","2015","PC","Percentage","0","Units",,,3.068,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2016","2016","PC","Percentage","0","Units",,,3.031,,
"AUS","Australia","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2017","2017","PC","Percentage","0","Units",,,3.099,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2008","2008","PC","Percentage","0","Units",,,6.072,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2009","2009","PC","Percentage","0","Units",,,6.063,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2010","2010","PC","Percentage","0","Units",,,6.502,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2011","2011","PC","Percentage","0","Units",,,6.462,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2012","2012","PC","Percentage","0","Units",,,6.426,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2013","2013","PC","Percentage","0","Units",,,6.408,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2014","2014","PC","Percentage","0","Units",,,6.404,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2015","2015","PC","Percentage","0","Units",,,6.334,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2016","2016","PC","Percentage","0","Units",,,6.336,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2017","2017","PC","Percentage","0","Units",,,6.375,,
"AUT","Austria","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2018","2018","PC","Percentage","0","Units",,,6.474,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2008","2008","PC","Percentage","0","Units",,,2.571,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2009","2009","PC","Percentage","0","Units",,,2.653,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2010","2010","PC","Percentage","0","Units",,,2.53,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2011","2011","PC","Percentage","0","Units",,,2.535,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2012","2012","PC","Percentage","0","Units",,,2.744,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2013","2013","PC","Percentage","0","Units",,,2.878,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2014","2014","PC","Percentage","0","Units",,,2.733,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2015","2015","PC","Percentage","0","Units",,,2.75,,
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2016","2016","PC","Percentage","0","Units",,,2.914,"P","Provisional value"
"CZE","Czech Republic","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2017","2017","PC","Percentage","0","Units",,,2.945,"P","Provisional value"
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2009","2009","PC","Percentage","0","Units",,,3.484,,
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2010","2010","PC","Percentage","0","Units",,,3.351,,
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2011","2011","PC","Percentage","0","Units",,,3.574,,
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2012","2012","PC","Percentage","0","Units",,,4.068,,
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2013","2013","PC","Percentage","0","Units",,,4.568,,
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2014","2014","PC","Percentage","0","Units",,,5.105,,
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2015","2015","PC","Percentage","0","Units",,,6.072,,
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2016","2016","PC","Percentage","0","Units",,,7.981,,
"ISL","Iceland","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2017","2017","PC","Percentage","0","Units",,,8.64,"E; P","Estimated value; Provisional value"
"JPN","Japan","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2008","2008","PC","Percentage","0","Units",,,1.899,,
"JPN","Japan","KEYIND_TOURGDPPC","Tourism GDP (direct) as % of total GDP","2009","2009","PC","Percentage","0","Units",,,1.852,,
